total_population,median_age,median_household_income,per_capita_income,population_below_poverty,bachelors_degree_holders,masters_degree_holders,doctorate_holders,education_population_base,white_alone,black_alone,asian_alone,hispanic_or_latino,median_gross_rent,median_home_value,occupied_housing_units,total_housing_units,total_commuters,public_transit_commuters,total_households,labor_force,unemployed,zip,pct_bachelors_plus,poverty_rate,diversity_index,pct_transit_commuters,housing_occupancy_rate,pct_hispanic,income_rent_ratio,unemployment_rate
37457.0,38.2,59889.0,30141.0,6701.0,4219.0,1314.0,179.0,27108.0,7154.0,819.0,10896.0,22113.0,1416.0,689000.0,11960.0,12549.0,17883.0,1733.0,11960.0,20489.0,1789.0,90031,0.2107127047366091,0.17889847024588196,0.6072947247175445,0.09690767768271542,0.953063989162483,0.5903569426275462,3.5245409604519775,0.08731514471179658
44881.0,37.4,76608.0,30118.0,6435.0,4904.0,1835.0,310.0,30863.0,11735.0,1256.0,5670.0,33540.0,1448.0,694800.0,13427.0,14203.0,20211.0,1059.0,13427.0,23232.0,2157.0,90032,0.22839646178271716,0.14337915821839978,0.5242588213820955,0.05239720944040374,0.9453636555657255,0.7473095519262049,4.4088397790055245,0.09284607438016529
47655.0,31.8,50616.0,19690.0,12649.0,3070.0,836.0,97.0,29378.0,9278.0,907.0,2151.0,43099.0,1311.0,632200.0,13341.0,14149.0,19355.0,1974.0,13341.0,22360.0,2234.0,90033,0.1362584246715229,0.2654286014059385,0.3657567013320502,0.10198915009041591,0.942893490706057,0.904396180883433,3.217391304347826,0.09991055456171735
55061.0,34.7,97511.0,59642.0,4883.0,16099.0,6931.0,1799.0,42903.0,25229.0,5161.0,10873.0,14246.0,2124.0,1316100.0,25261.0,28847.0,35049.0,2274.0,25261.0,37423.0,2015.0,90034,0.5787240985478871,0.08868346016236538,0.6805487056955004,0.06488059573739621,0.8756889797899262,0.25873122536822796,3.825761142498431,0.05384389279320204
26595.0,36.9,110520.0,71347.0,2150.0,7208.0,3140.0,762.0,19433.0,18450.0,1899.0,1767.0,3541.0,2374.0,1657200.0,11420.0,13588.0,14279.0,353.0,11420.0,15659.0,1096.0,90035,0.5717079195183451,0.08084226358338034,0.45362342768270003,0.024721619161005674,0.8404474536355608,0.13314532806918594,3.8795282224094354,0.06999169806501054
37713.0,36.5,97583.0,75572.0,4081.0,13003.0,5010.0,477.0,29484.0,22708.0,2388.0,7222.0,5146.0,2622.0,1869500.0,19753.0,21848.0,22680.0,588.0,19753.0,25290.0,2176.0,90036,0.6271197937864604,0.10821202237955081,0.5725169363528556,0.025925925925925925,0.9041102160380813,0.1364516214567921,3.101417493007882,0.08604191379992092
69064.0,32.4,52238.0,19150.0,18243.0,2832.0,876.0,69.0,43536.0,18935.0,10654.0,901.0,55159.0,1374.0,598700.0,17571.0,18550.0,29777.0,4207.0,17571.0,33514.0,2679.0,90037,0.08675578831312018,0.2641462990849068,0.5207894969882854,0.14128354098801088,0.9472237196765498,0.7986650063709023,3.168243571081999,0.07993674285373277
27979.0,34.5,57102.0,38602.0,5308.0,5887.0,1318.0,242.0,21172.0,11254.0,1910.0,1695.0,14620.0,1697.0,1020800.0,12929.0,14610.0,16749.0,2557.0,12929.0,18484.0,1384.0,90038,0.35173814471944076,0.18971371385682118,0.6007900188278419,0.1526658307958684,0.8849418206707734,0.5225347582115157,2.8040659988214496,0.07487556805886172
28244.0,41.4,108338.0,70997.0,2516.0,8585.0,2857.0,485.0,22804.0,14131.0,452.0,5772.0,8788.0,1996.0,1139300.0,12052.0,13126.0,15621.0,494.0,12052.0,17146.0,1079.0,90039,0.523022276793545,0.0890808667327574,0.6344882706687591,0.03162409576851674,0.9181776626542739,0.3111457300665628,4.52312959251837,0.06293012947626268
11839.0,38.3,62083.0,24201.0,1858.0,729.0,181.0,7.0,8185.0,4095.0,62.0,234.0,11235.0,1337.0,550500.0,3441.0,3474.0,5227.0,226.0,3441.0,5532.0,295.0,90040,0.11203420891875382,0.15693893065292677,0.41413052009314943,0.04323703845418022,0.9905008635578584,0.9489821775487794,3.869546247818499,0.053326102675343455
28321.0,40.4,111938.0,55385.0,2731.0,6862.0,2139.0,445.0,20405.0,11874.0,574.0,7148.0,9902.0,1747.0,1042100.0,9875.0,10382.0,13906.0,387.0,9875.0,15740.0,942.0,90041,0.4629257534917912,0.09643021079764133,0.6661829944597694,0.027829713792607506,0.9511654787131574,0.3496345468027259,5.339534439992367,0.05984752223634053
59151.0,37.7,89168.0,44011.0,6249.0,11804.0,4245.0,815.0,44983.0,20966.0,1283.0,8408.0,34183.0,1756.0,850700.0,21199.0,22187.0,30903.0,1990.0,21199.0,35002.0,3095.0,90042,0.37489718338038813,0.10564487498098088,0.6003089848461034,0.06439504255250299,0.9554694190291613,0.5778938648543558,4.231586940015186,0.0884235186560768
44461.0,40.8,63990.0,36219.0,7340.0,5989.0,2832.0,404.0,31543.0,5982.0,26642.0,936.0,11744.0,1389.0,816600.0,17132.0,18614.0,18682.0,1330.0,17132.0,21696.0,2543.0,90043,0.2924579145927781,0.1650885045320618,0.5691115111338103,0.07119152125040146,0.9203825077898357,0.26414160725129887,3.8390928725701943,0.11721054572271386
98990.0,31.2,48386.0,19333.0,26351.0,4463.0,1166.0,223.0,59095.0,16893.0,30985.0,899.0,65034.0,1397.0,551800.0,27738.0,29029.0,38021.0,3443.0,27738.0,43843.0,4496.0,90044,0.09902699043912344,0.2661986059197899,0.5772641996334356,0.09055521948396938,0.9555272313893004,0.6569754520658653,2.8863039847291816,0.10254772711721369
41123.0,36.2,125692.0,64266.0,3210.0,10545.0,4484.0,916.0,27930.0,23160.0,3601.0,6130.0,8000.0,2790.0,1277400.0,15852.0,17377.0,21330.0,207.0,15852.0,23417.0,1506.0,90045,0.5708915145005371,0.07805850740461542,0.6107051797192686,0.009704641350210971,0.9122403176612764,0.19453833621087957,3.7542413381123056,0.06431225178289277
