zip_code,competitor_count,avg_competitor_rating,median_competitor_rating,avg_review_count,total_reviews,avg_price_tier,open_count,market_saturation_score,opportunity_score
91204,4,3.85,4.15,82.25,329,1.3333333333333333,4,3.08,0.314
91205,8,4.1,4.4,90.5,724,1.6,8,6.56,0.15
91206,11,3.9909090909090907,4.3,266.0,2926,2.0,11,8.78,0.113
91207,2,5.0,5.0,11.5,23,1.0,2,2.0,0.476
91208,3,4.366666666666666,4.1,357.6666666666667,1073,1.6666666666666667,3,2.62,0.368
91210,1,3.7,3.7,1530.0,1530,3.0,1,0.74,1.19
91214,10,4.24,4.35,68.4,684,1.8333333333333333,10,8.48,0.117
91302,4,4.225,4.25,70.75,283,2.0,4,3.38,0.287
91303,11,4.254545454545454,4.4,86.0,946,1.6666666666666667,11,9.36,0.106
91304,2,4.6,4.6,20.0,40,2.0,2,1.84,0.515
91306,8,4.275,4.65,35.25,282,1.6,8,6.84,0.144
91307,7,3.9857142857142853,4.3,72.57142857142857,508,1.5,7,5.58,0.176
91311,18,3.9111111111111114,4.6,49.611111111111114,893,1.875,18,14.08,0.071
91316,11,4.236363636363636,4.2,165.45454545454547,1820,2.0,11,9.32,0.106
91324,19,3.9,4.1,294.5263157894737,5596,1.8333333333333333,19,14.82,0.067
91325,7,4.671428571428572,4.8,20.857142857142858,146,1.3333333333333333,7,6.54,0.151
91326,4,3.975,4.0,132.0,528,2.5,4,3.18,0.305
91331,11,4.4363636363636365,4.9,10.636363636363637,117,1.5,11,9.76,0.101
91335,17,4.564705882352941,5.0,29.235294117647058,497,1.6,17,15.52,0.064
91340,13,4.3307692307692305,4.8,20.076923076923077,261,1.5,13,11.26,0.088
91342,11,4.109090909090909,4.7,38.63636363636363,425,1.5,11,9.04,0.109
91343,7,4.414285714285714,5.0,52.285714285714285,366,1.4,7,6.18,0.159
91344,17,3.7176470588235295,4.0,81.94117647058823,1393,1.9,17,12.64,0.078
91345,8,4.4125,5.0,51.75,414,2.0,8,7.06,0.14
91352,14,4.121428571428572,4.0,39.0,546,1.1111111111111112,14,11.54,0.086
91353,1,5.0,5.0,6.0,6,,1,1.0,0.909
91355,1,5.0,5.0,5.0,5,2.0,1,1.0,0.909
91356,14,4.4714285714285715,5.0,74.5,1043,1.6666666666666667,14,12.52,0.079
91360,1,4.9,4.9,21.0,21,2.0,1,0.98,0.926
91362,1,4.9,4.9,186.0,186,2.0,1,0.98,0.926
91364,13,4.1923076923076925,4.9,136.07692307692307,1769,2.25,13,10.9,0.091
91366,1,4.5,4.5,31.0,31,,1,0.9,1.0
